Iteration,Loss,Perplexity,Accuracy
0,4.622859001159668,101.78461456298828,0.0
200,2.3681812286376953,10.677953720092773,0.315
400,2.3381497859954834,10.362046241760254,0.3
600,2.7863247394561768,16.22129249572754,0.28
800,2.0165348052978516,7.512248516082764,0.47
1000,1.9073994159698486,6.735549449920654,0.425
1200,1.9364967346191406,6.934415817260742,0.48
1400,1.9534919261932373,7.053274154663086,0.435
1600,1.8050991296768188,6.080574035644531,0.46
1800,1.9411362409591675,6.966662406921387,0.425
2000,1.8559986352920532,6.398085117340088,0.47
2200,1.8605259656906128,6.427116394042969,0.435
2400,1.99797523021698,7.374110221862793,0.415
2600,1.835806965827942,6.2701921463012695,0.44
2800,1.8092354536056519,6.105777740478516,0.45
3000,1.970031976699829,7.170906066894531,0.42
3200,1.740047574043274,5.697614669799805,0.47
3400,1.8951197862625122,6.653345584869385,0.475
3600,1.8028455972671509,6.066886901855469,0.46
3800,1.7885810136795044,5.980959892272949,0.475

