Iteration,Loss,Perplexity,Accuracy
0,4.626077651977539,102.11275482177734,0.005
200,2.1412405967712402,8.509988784790039,0.355
400,2.11025071144104,8.250308990478516,0.44
600,2.642899751663208,14.053898811340332,0.305
800,1.885473608970642,6.589474678039551,0.475
1000,1.8051824569702148,6.081080913543701,0.475
1200,1.8278194665908813,6.220308303833008,0.47
1400,1.7039074897766113,5.495378494262695,0.505
1600,1.6068872213363647,4.987262725830078,0.525
1800,1.7610851526260376,5.8187479972839355,0.465
2000,1.6619071960449219,5.269351005554199,0.495
2200,1.7569561004638672,5.794772148132324,0.47
2400,1.8926796913146973,6.6371307373046875,0.44
2600,1.7111907005310059,5.535548686981201,0.475
2800,1.5581817626953125,4.750176429748535,0.545
3000,1.799412488937378,6.046093940734863,0.465
3200,1.4634664058685303,4.320911407470703,0.545
3400,1.7640316486358643,5.835918426513672,0.49
3600,1.600641131401062,4.956209182739258,0.49
3800,1.615380048751831,5.029798984527588,0.535
